FLDNAME,BIOMARKER,HM,HS,LM,LS,HV_CTV,REQUIRE_NORMALIZE
ST10CV,ICV,ICV,ICV,ICV,ICV,Other,0
ST11SV,Left-Accumbens-area,FSL-Accumbens-area,FSL-Left-Accumbens-area,FSL-Accumbens-area,FSL-Left-Accumbens-area,Other,1
ST12SV,Left-Amygdala,FSL-Amygdala,FSL-Left-Amygdala,FSL-Amygdala,FSL-Left-Amygdala,Other,1
ST13CV,Left-bankssts,FSL-bankssts,FSL-Left-bankssts,FSL-Temporal,FSL-Left-Temporal,Other,1
ST14CV,Left-caudalanteriorcingulate,FSL-caudalanteriorcingulate,FSL-Left-caudalanteriorcingulate,FSL-Cingulate,FSL-Left-Cingulate,Other,1
ST15CV,Left-caudalmiddlefrontal,FSL-caudalmiddlefrontal,FSL-Left-caudalmiddlefrontal,FSL-Frontal,FSL-Left-Frontal,Cortical,1
ST16SV,Left-Caudate,FSL-Caudate,FSL-Left-Caudate,FSL-Caudate,FSL-Left-Caudate,Other,1
ST23CV,Left-cuneus,FSL-cuneus,FSL-Left-cuneus,FSL-Occipital,FSL-Left-Occipital,Other,1
ST24CV,Left-entorhinal,FSL-entorhinal,FSL-Left-entorhinal,FSL-Temporal,FSL-Left-Temporal,Other,1
ST25CV,Left-frontalpole,FSL-frontalpole,FSL-Left-frontalpole,FSL-Frontal,FSL-Left-Frontal,Other,1
ST26CV,Left-fusiform,FSL-fusiform,FSL-Left-fusiform,FSL-Temporal,FSL-Left-Temporal,Other,1
ST29SV,Left-Hippocampus,FSL-Hippocampus,FSL-Left-Hippocampus,FSL-Hippocampus,FSL-Left-Hippocampus,Hippocampus,1
ST31CV,Left-inferiorparietal,FSL-inferiorparietal,FSL-Left-inferiorparietal,FSL-Parietal,FSL-Left-Parietal,Cortical,1
ST32CV,Left-inferiortemporal,FSL-inferiortemporal,FSL-Left-inferiortemporal,FSL-Temporal,FSL-Left-Temporal,Other,1
ST129CV,Left-insula,FSL-insula,FSL-Left-insula,FSL-Insula,FSL-Left-Insula,Other,1
ST34CV,Left-isthmuscingulate,FSL-isthmuscingulate,FSL-Left-isthmuscingulate,FSL-Cingulate,FSL-Left-Cingulate,Other,1
ST35CV,Left-lateraloccipital,FSL-lateraloccipital,FSL-Left-lateraloccipital,FSL-Occipital,FSL-Left-Occipital,Other,1
ST36CV,Left-lateralorbitofrontal,FSL-lateralorbitofrontal,FSL-Left-lateralorbitofrontal,FSL-Frontal,FSL-Left-Frontal,Other,1
ST38CV,Left-lingual,FSL-lingual,FSL-Left-lingual,FSL-Occipital,FSL-Left-Occipital,Other,1
ST39CV,Left-medialorbitofrontal,FSL-medialorbitofrontal,FSL-Left-medialorbitofrontal,FSL-Frontal,FSL-Left-Frontal,Other,1
ST40CV,Left-middletemporal,FSL-middletemporal,FSL-Left-middletemporal,FSL-Temporal,FSL-Left-Temporal,Other,1
ST42SV,Left-Pallidum,FSL-Pallidum,FSL-Left-Pallidum,FSL-Pallidum,FSL-Left-Pallidum,Other,1
ST43CV,Left-paracentral,FSL-paracentral,FSL-Left-paracentral,FSL-Frontal,FSL-Left-Frontal,Other,1
ST44CV,Left-parahippocampal,FSL-parahippocampal,FSL-Left-parahippocampal,FSL-Temporal,FSL-Left-Temporal,Other,1
ST45CV,Left-parsopercularis,FSL-parsopercularis,FSL-Left-parsopercularis,FSL-Frontal,FSL-Left-Frontal,Cortical,1
ST46CV,Left-parsorbitalis,FSL-parsorbitalis,FSL-Left-parsorbitalis,FSL-Frontal,FSL-Left-Frontal,Other,1
ST47CV,Left-parstriangularis,FSL-parstriangularis,FSL-Left-parstriangularis,FSL-Frontal,FSL-Left-Frontal,Cortical,1
ST48CV,Left-pericalcarine,FSL-pericalcarine,FSL-Left-pericalcarine,FSL-Occipital,FSL-Left-Occipital,Other,1
ST49CV,Left-postcentral,FSL-postcentral,FSL-Left-postcentral,FSL-Parietal,FSL-Left-Parietal,Other,1
ST50CV,Left-posteriorcingulate,FSL-posteriorcingulate,FSL-Left-posteriorcingulate,FSL-Cingulate,FSL-Left-Cingulate,Other,1
ST51CV,Left-precentral,FSL-precentral,FSL-Left-precentral,FSL-Frontal,FSL-Left-Frontal,Other,1
ST52CV,Left-precuneus,FSL-precuneus,FSL-Left-precuneus,FSL-Parietal,FSL-Left-Parietal,Other,1
ST53SV,Left-Putamen,FSL-Putamen,FSL-Left-Putamen,FSL-Putamen,FSL-Left-Putamen,Other,1
