FLDNAME,BIOMARKER,HM,HS,LM,LS,REQUIRE_NORMALIZE
SUMMARY_SUVR,SUMMARY_SUVR,Abeta-summary,Abeta-summary,Abeta-summary,Abeta-summary,1
SUMMARYSUVR_WHOLECEREBNORM_1.11CUTOFF,SUMMARYSUVR_WHOLECEREBNORM_1.11CUTOFF,Abeta-positive,Abeta-positive,Abeta-positive,Abeta-positive,0
LEFT_ACCUMBENS_AREA_SUVR,Left-Accumbens-area,Abeta-Accumbens-area,Abeta-Left-Accumbens-area,Abeta-Accumbens-area,Abeta-Left-Accumbens-area,1
LEFT_AMYGDALA_SUVR,Left-Amygdala,Abeta-Amygdala,Abeta-Left-Amygdala,Abeta-Amygdala,Abeta-Left-Amygdala,1
CTX_LH_BANKSSTS_SUVR,Left-bankssts,Abeta-bankssts,Abeta-Left-bankssts,Abeta-Temporal,Abeta-Left-Temporal,1
CTX_LH_CAUDALANTERIORCINGULATE_SUVR,Left-caudalanteriorcingulate,Abeta-caudalanteriorcingulate,Abeta-Left-caudalanteriorcingulate,Abeta-Cingulate,Abeta-Left-Cingulate,1
CTX_LH_CAUDALMIDDLEFRONTAL_SUVR,Left-caudalmiddlefrontal,Abeta-caudalmiddlefrontal,Abeta-Left-caudalmiddlefrontal,Abeta-Frontal,Abeta-Left-Frontal,1
LEFT_CAUDATE_SUVR,Left-Caudate,Abeta-Caudate,Abeta-Left-Caudate,Abeta-Caudate,Abeta-Left-Caudate,1
CTX_LH_CUNEUS_SUVR,Left-cuneus,Abeta-cuneus,Abeta-Left-cuneus,Abeta-Occipital,Abeta-Left-Occipital,1
CTX_LH_ENTORHINAL_SUVR,Left-entorhinal,Abeta-entorhinal,Abeta-Left-entorhinal,Abeta-Temporal,Abeta-Left-Temporal,1
CTX_LH_FRONTALPOLE_SUVR,Left-frontalpole,Abeta-frontalpole,Abeta-Left-frontalpole,Abeta-Frontal,Abeta-Left-Frontal,1
CTX_LH_FUSIFORM_SUVR,Left-fusiform,Abeta-fusiform,Abeta-Left-fusiform,Abeta-Temporal,Abeta-Left-Temporal,1
LEFT_HIPPOCAMPUS_SUVR,Left-Hippocampus,Abeta-Hippocampus,Abeta-Left-Hippocampus,Abeta-Hippocampus,Abeta-Left-Hippocampus,1
