FLDNAME,BIOMARKER,HM,HS,LM,LS,HV_CTV,REQUIRE_NORMALIZE
cerebrumtcv,ICV,ICV,ICV,ICV,ICV,Other,0
,Left-Accumbens-area,FSX-Accumbens-area,FSX-Left-Accumbens-area,FSX-Accumbens-area,FSX-Left-Accumbens-area,Other,1
,Left-Amygdala,FSX-Amygdala,FSX-Left-Amygdala,FSX-Amygdala,FSX-Left-Amygdala,Other,1
,Left-bankssts,FSX-bankssts,FSX-Left-bankssts,FSX-Temporal,FSX-Left-Temporal,Other,1
lh-caudalanteriorcingulate-gvol,Left-caudalanteriorcingulate,FSX-caudalanteriorcingulate,FSX-Left-caudalanteriorcingulate,FSX-Cingulate,FSX-Left-Cingulate,Other,1
lh-caudalmiddlefrontal-gvol,Left-caudalmiddlefrontal,FSX-caudalmiddlefrontal,FSX-Left-caudalmiddlefrontal,FSX-Frontal,FSX-Left-Frontal,Cortical,1
,Left-Caudate,FSX-Caudate,FSX-Left-Caudate,FSX-Caudate,FSX-Left-Caudate,Other,1
lh-cuneus-gvol,Left-cuneus,FSX-cuneus,FSX-Left-cuneus,FSX-Occipital,FSX-Left-Occipital,Other,1
lh-entorhinal-gvol,Left-entorhinal,FSX-entorhinal,FSX-Left-entorhinal,FSX-Temporal,FSX-Left-Temporal,Other,1
,Left-frontalpole,FSX-frontalpole,FSX-Left-frontalpole,FSX-Frontal,FSX-Left-Frontal,Other,1
lh-fusiform-gvol,Left-fusiform,FSX-fusiform,FSX-Left-fusiform,FSX-Temporal,FSX-Left-Temporal,Other,1
left_hippo,Left-Hippocampus,FSX-Hippocampus,FSX-Left-Hippocampus,FSX-Hippocampus,FSX-Left-Hippocampus,Hippocampus,1
lh-inferiorparietal-gvol,Left-inferiorparietal,FSX-inferiorparietal,FSX-Left-inferiorparietal,FSX-Parietal,FSX-Left-Parietal,Cortical,1
lh-inferiortemporal-gvol,Left-inferiortemporal,FSX-inferiortemporal,FSX-Left-inferiortemporal,FSX-Temporal,FSX-Left-Temporal,Other,1
lh-insula-gvol,Left-insula,FSX-insula,FSX-Left-insula,FSX-Insula,FSX-Left-Insula,Other,1
lh-isthmuscingulate-gvol,Left-isthmuscingulate,FSX-isthmuscingulate,FSX-Left-isthmuscingulate,FSX-Cingulate,FSX-Left-Cingulate,Other,1
lh-lateraloccipital-gvol,Left-lateraloccipital,FSX-lateraloccipital,FSX-Left-lateraloccipital,FSX-Occipital,FSX-Left-Occipital,Other,1
lh-lateralorbitofrontal-gvol,Left-lateralorbitofrontal,FSX-lateralorbitofrontal,FSX-Left-lateralorbitofrontal,FSX-Frontal,FSX-Left-Frontal,Other,1
lh-lingual-gvol,Left-lingual,FSX-lingual,FSX-Left-lingual,FSX-Occipital,FSX-Left-Occipital,Other,1
lh-medialorbitofrontal-gvol,Left-medialorbitofrontal,FSX-medialorbitofrontal,FSX-Left-medialorbitofrontal,FSX-Frontal,FSX-Left-Frontal,Other,1
lh-middletemporal-gvol,Left-middletemporal,FSX-middletemporal,FSX-Left-middletemporal,FSX-Temporal,FSX-Left-Temporal,Other,1
,Left-Pallidum,FSX-Pallidum,FSX-Left-Pallidum,FSX-Pallidum,FSX-Left-Pallidum,Other,1
lh-paracentral-gvol,Left-paracentral,FSX-paracentral,FSX-Left-paracentral,FSX-Frontal,FSX-Left-Frontal,Other,1
lh-parahippocampal-gvol,Left-parahippocampal,FSX-parahippocampal,FSX-Left-parahippocampal,FSX-Temporal,FSX-Left-Temporal,Other,1
lh-parsopercularis-gvol,Left-parsopercularis,FSX-parsopercularis,FSX-Left-parsopercularis,FSX-Frontal,FSX-Left-Frontal,Cortical,1
lh-parsorbitalis-gvol,Left-parsorbitalis,FSX-parsorbitalis,FSX-Left-parsorbitalis,FSX-Frontal,FSX-Left-Frontal,Other,1
lh-parstriangularis-gvol,Left-parstriangularis,FSX-parstriangularis,FSX-Left-parstriangularis,FSX-Frontal,FSX-Left-Frontal,Cortical,1
lh-pericalcarine-gvol,Left-pericalcarine,FSX-pericalcarine,FSX-Left-pericalcarine,FSX-Occipital,FSX-Left-Occipital,Other,1
lh-postcentral-gvol,Left-postcentral,FSX-postcentral,FSX-Left-postcentral,FSX-Parietal,FSX-Left-Parietal,Other,1
lh-posteriorcingulate-gvol,Left-posteriorcingulate,FSX-posteriorcingulate,FSX-Left-posteriorcingulate,FSX-Cingulate,FSX-Left-Cingulate,Other,1
lh-precentral-gvol,Left-precentral,FSX-precentral,FSX-Left-precentral,FSX-Frontal,FSX-Left-Frontal,Other,1
lh-precuneus-gvol,Left-precuneus,FSX-precuneus,FSX-Left-precuneus,FSX-Parietal,FSX-Left-Parietal,Other,1
,Left-Putamen,FSX-Putamen,FSX-Left-Putamen,FSX-Putamen,FSX-Left-Putamen,Other,1
lh-rostralanteriorcingulate-gvol,Left-rostralanteriorcingulate,FSX-rostralanteriorcingulate,FSX-Left-rostralanteriorcingulate,FSX-Cingulate,FSX-Left-Cingulate,Other,1
